nama_video,label,jumlah_orang_per_frame,avg_speed,overlap_count
1O4KGHbRt3M_1,Fight,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 1.2952193021774292, 1.6650745868682861, 1.8164563179016113, 2.1271159648895264, 1.7387771606445312, 1.1119565963745117, 0.7448873519897461, 0.5614739656448364, 0.4389623999595642, 9.073086738586426, 12.24337100982666, 11.384676933288574, 0.7147330641746521, 0.5598748922348022, 0.5913465023040771]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1O4KGHbRt3M_2,Fight,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0.0, 1.2901434898376465, 1.8356717824935913, 2.288414478302002, 1.736229419708252, 1.550502061843872, 1.035724401473999, 1.0605499744415283, 0.9415735006332397, 1.049216628074646, 1.0889828205108643, 1.6098335981369019, 1.356080174446106, 1.095609426498413, 0.9854915142059326, 0.8666877746582031]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1O4KGHbRt3M_3,Fight,"[1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2]","[0.0, 0.8790168762207031, 0.9626696705818176, 1.010690689086914, 1.514432668685913, 1.322036623954773, 0.9472923278808594, 0.5206577181816101, 0.7578890919685364, 0.7562092542648315, 1.0127898454666138, 1.0748002529144287, 0.6066838502883911, 1.180506944656372, 0.9479449391365051, 0.6017851829528809]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1O4KGHbRt3M_4,Fight,"[3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 0, 1, 3]","[0.0, 0.8240168690681458, 0.8531073927879333, 0.5685275793075562, 0.9412049651145935, 0.6002027988433838, 0.8435534238815308, 0.5671343803405762, 0.8689121007919312, 1.3852978944778442, 0.8020816445350647, 1.0104820728302002, 1.214624047279358, 1.1954225301742554, 0.7864671945571899, 0.9626376032829285]","[3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
1r0Wz04q_0,Fight,"[0, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 0, 0, 0, 1, 1]","[0.0, 0.2226853370666504, 0.292204350233078, 0.31343701481819153, 0.2633565664291382, 0.29890885949134827, 0.2849425971508026, 0.2773066759109497, 0.2636357247829437, 0.25565361976623535, 0.25161874294281006, 0.2982580363750458, 0.4772060513496399, 0.27350160479545593, 0.28537189960479736, 0.30447283387184143]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1tU4kxa51vw_1,Fight,"[6, 8, 7, 6, 4, 8, 4, 6, 6, 6, 5, 6, 5, 7, 7, 7]","[0.0, 0.6692082285881042, 0.7419867515563965, 0.7746940851211548, 0.7004018425941467, 0.7731274962425232, 0.8921642899513245, 0.8999432325363159, 1.074328899383545, 1.7221468687057495, 0.8668749332427979, 1.1893179416656494, 0.5532081127166748, 0.7963545322418213, 0.5477269887924194, 0.6178373694419861]","[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]"
1XFiS6Lt_0,Fight,"[6, 5, 9, 7, 7, 7, 8, 9, 7, 8, 9, 8, 8, 9, 7, 9]","[0.0, 0.37585145235061646, 0.4280191957950592, 0.48532745242118835, 0.4541676938533783, 0.5259309411048889, 0.9856544137001038, 0.7287206649780273, 0.5716755390167236, 0.6343098282814026, 0.6549563407897949, 0.7334023118019104, 0.6124095320701599, 1.0276519060134888, 1.2982031106948853, 1.458530306816101]","[3, 1, 3, 2, 4, 5, 2, 5, 3, 3, 4, 2, 3, 0, 0, 3]"
1XFiS6Lt_1,Fight,"[7, 6, 7, 5, 8, 6, 9, 9, 10, 10, 11, 7, 7, 8, 6, 7]","[0.0, 2.287014961242676, 2.33172345161438, 2.3830149173736572, 3.00881290435791, 2.7959303855895996, 2.9269611835479736, 3.1259219646453857, 3.181332588195801, 3.3232061862945557, 3.220803737640381, 1.839604139328003, 1.671007513999939, 2.6355862617492676, 2.3560597896575928, 2.677400827407837]","[3, 0, 2, 0, 2, 1, 3, 1, 2, 5, 4, 1, 1, 0, 0, 0]"
20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37,Fight,"[5, 5, 5, 5, 6, 5, 5, 6, 4, 7, 6, 8, 8, 9, 6, 7]","[0.0, 1.7928345203399658, 1.6858088970184326, 2.0847067832946777, 2.1032543182373047, 1.7712277173995972, 1.9635385274887085, 2.856238842010498, 2.4278995990753174, 3.356990098953247, 2.5051767826080322, 4.045266628265381, 3.703965902328491, 4.530770301818848, 3.3236682415008545, 3.541640520095825]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 2, 3, 3, 2]"
24E0xYYUz44_0,Fight,"[0, 0, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1]","[0.0, 0.09213551878929138, 2.7261807918548584, 0.01917317882180214, 2.9604599475860596, 1.803468108177185, 0.14382974803447723, 2.858607053756714, 0.00040792982326820493, 1.3906280994415283, 1.382798433303833, 0.03810250014066696, 1.302762746810913, 0.03403906151652336, 2.497957706451416, 4.372873306274414]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
24E0xYYUz44_1,Fight,"[4, 4, 4, 4, 3, 3, 2, 3, 2, 3, 4, 3, 2, 2, 4, 3]","[0.0, 0.07775945216417313, 6.122307300567627, 0.006435588467866182, 3.8422131538391113, 2.697383403778076, 0.02749139443039894, 3.688082218170166, 0.011955210007727146, 2.533102035522461, 1.622442364692688, 0.1292935311794281, 1.8444291353225708, 0.02725781686604023, 2.779818296432495, 3.4594106674194336]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
24E0xYYUz44_2,Fight,"[3, 4, 4, 4, 6, 3, 3, 4, 4, 4, 3, 3, 2, 2, 4, 2]","[0.0, 0.08134523034095764, 4.259016513824463, 0.0012595807202160358, 3.080373764038086, 1.6247079372406006, 0.15211957693099976, 3.627312421798706, 0.0067726983688771725, 4.8472161293029785, 5.209644794464111, 0.021823812276124954, 3.7002904415130615, 0.0016295600216835737, 2.6297762393951416, 3.112473487854004]","[1, 2, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
24E0xYYUz44_3,Fight,"[2, 3, 3, 3, 3, 2, 2, 1, 1, 2, 3, 5, 1, 1, 2, 2]","[0.0, 0.08199724555015564, 2.0269343852996826, 0.024184685200452805, 2.158859968185425, 1.4837278127670288, 0.012334642000496387, 2.3263819217681885, 0.000537049665581435, 5.494579315185547, 4.312427520751953, 0.12213319540023804, 4.025467395782471, 0.023653989657759666, 3.7291581630706787, 3.5533926486968994]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
24E0xYYUz44_4,Fight,"[1, 3, 2, 2, 3, 4, 4, 2, 2, 0, 2, 2, 2, 2, 2, 2]","[0.0, 0.08571025729179382, 3.148871898651123, 0.006531125865876675, 4.041139602661133, 2.7234458923339844, 0.043210193514823914, 2.81853985786438, 0.012681644409894943, 4.0567522048950195, 1.7339091300964355, 0.01827029325067997, 1.8161619901657104, 0.004003120586276054, 1.3348910808563232, 2.611886739730835]","[0, 0, 0, 0, 0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
24E0xYYUz44_5,Fight,"[2, 2, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3]","[0.0, 0.09207776933908463, 1.7775455713272095, 0.0013128803111612797, 2.208430767059326, 2.967008352279663, 0.04711788147687912, 3.4567489624023438, 0.0029961783438920975, 4.64127254486084, 5.381700038909912, 0.02745872177183628, 5.535733699798584, 0.0005949076730757952, 4.813525676727295, 2.748708963394165]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24E0xYYUz44_6,Fight,"[4, 4, 4, 4, 2, 0, 0, 0, 0, 3, 1, 4, 2, 2, 2, 2]","[0.0, 0.07887885719537735, 5.859443187713623, 0.002190164290368557, 5.833070755004883, 5.243027687072754, 0.012088020332157612, 4.03432559967041, 0.007931011728942394, 5.943191051483154, 3.729189395904541, 0.12314560264348984, 3.8254923820495605, 0.029191287234425545, 4.538878440856934, 2.2676894664764404]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
24E0xYYUz44_7,Fight,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 3]","[0.0, 0.08018293976783752, 1.5310348272323608, 0.013363389298319817, 1.468695878982544, 0.7508885264396667, 0.041105832904577255, 1.081982970237732, 0.00244678882881999, 1.2899709939956665, 0.7100260257720947, 0.1368616670370102, 0.8731162548065186, 0.047488078474998474, 0.8463577032089233, 0.669640064239502]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2hQMRq06NJs_0,Fight,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1]","[0.0, 1.9196780920028687, 2.299499988555908, 2.0910186767578125, 2.738004446029663, 2.055692672729492, 1.6682578325271606, 0.9904294610023499, 1.9824501276016235, 2.4515724182128906, 2.1723530292510986, 1.776405692100525, 2.20987606048584, 1.2428115606307983, 2.3111231327056885, 1.912475824356079]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
2sy_eLpH-PI_0,Fight,"[0, 1, 1, 2, 1, 1, 2, 2, 1, 0, 3, 2, 3, 2, 2, 1]","[0.0, 0.8939979076385498, 0.8167135119438171, 0.9039428234100342, 1.5580798387527466, 1.0315077304840088, 1.0736266374588013, 1.2059602737426758, 1.2602910995483398, 2.2964632511138916, 3.0977816581726074, 2.702545642852783, 3.2301430702209473, 2.278113842010498, 2.2186279296875, 2.4591732025146484]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
2sy_eLpH-PI_1,Fight,"[1, 2, 0, 1, 3, 2, 2, 3, 2, 1, 2, 2, 0, 0, 1, 1]","[0.0, 1.3599036931991577, 2.912010669708252, 2.712141752243042, 4.011612892150879, 3.3034744262695312, 3.7417612075805664, 0.927236020565033, 1.5281422138214111, 1.8672816753387451, 2.383751153945923, 0.838302731513977, 9.45029354095459, 1.3425450325012207, 2.298757314682007, 2.1931378841400146]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3CQi0ZCCHvc_0,Fight,"[3, 3, 3, 3, 2, 1, 2, 2, 0, 3, 2, 0, 2, 1, 2, 1]","[0.0, 0.797996997833252, 0.8365117311477661, 0.928058922290802, 1.0840470790863037, 0.63068026304245, 0.738396167755127, 0.6072653532028198, 2.0359644889831543, 1.8819364309310913, 1.5208046436309814, 1.8403661251068115, 1.8472663164138794, 2.312426805496216, 2.310586929321289, 2.184644937515259]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
3CQi0ZCCHvc_1,Fight,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 2, 0, 0]","[0.0, 1.867389440536499, 1.8129146099090576, 1.824426531791687, 2.185143232345581, 1.7598206996917725, 1.69472074508667, 1.834462285041809, 1.899070382118225, 2.0506787300109863, 1.4122394323349, 1.9132956266403198, 3.0562968254089355, 3.2283010482788086, 3.2917726039886475, 2.602457284927368]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3CQi0ZCCHvc_2,Fight,"[0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 2, 0, 0, 0, 1, 2]","[0.0, 1.229417085647583, 0.927638828754425, 1.1018134355545044, 0.999287486076355, 0.993114709854126, 1.0060710906982422, 1.9669837951660156, 1.2046921253204346, 1.087425708770752, 0.8941704630851746, 0.8954471945762634, 0.7200844883918762, 0.7187411785125732, 0.3926983177661896, 0.76228928565979]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
